rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
166,Gasherbrum VI,W,1.257,1005.6,800.0,120.0,920.0,6859.5,6801.9,5796.3,1220.4,35.70854,76.625687
167,Hispar Sar,SW,1.256,1004.8,800.0,780.0,1580.0,6154.8,6233.8,5229.0,1162.7,36.112054,75.356045
168,Zhukezhen Peak,S,1.255,1003.7,800.0,520.0,1320.0,7002.1,6809.7,5806.1,1470.8,35.917681,76.174175
169,Hiunchuli,N,1.253,1002.6,800.0,100.0,900.0,6353.8,6283.7,5281.1,1405.6,28.515359,83.84843
170,Saalsuṅgo,SW,1.252,1002.0,800.0,680.0,1480.0,6769.9,6332.8,5330.8,2754.2,28.328168,85.116086
171,Kabru,NE,1.25,1012.7,810.0,1210.0,2020.0,7237.2,6956.8,5944.0,1869.2,27.626446,88.127938
172,Lingtren,S,1.237,1002.0,810.0,10.0,820.0,6616.9,6603.0,5601.0,1330.3,28.023746,86.85525
173,Mahashrung,SW,1.236,1001.2,810.0,510.0,1320.0,6923.9,6595.7,5594.5,1497.2,35.403679,77.210926
174,Teram Kangri Peak,SW,1.235,1000.2,810.0,200.0,1010.0,7321.1,7331.5,6331.3,1845.4,35.576351,77.074985
175,West Chongra,SE,1.234,1012.1,820.0,160.0,980.0,6445.5,6242.8,5230.7,2303.7,35.29553,74.670804
176,Kā̃si̇̄ Dālphā,SW,1.23,1008.5,820.0,480.0,1300.0,6348.9,6009.2,5000.7,1875.5,29.277217,82.545348
177,Summa Ri I,SE,1.23,1008.4,820.0,590.0,1410.0,7141.2,6710.2,5701.8,1800.5,35.860001,76.453323
178,Chumbu,E,1.227,1006.5,820.0,0.0,820.0,6835.1,6820.2,5813.7,1279.3,28.01414,86.792642
179,Bijorā Hiū Chuli̇̄,NW,1.227,1006.0,820.0,720.0,1540.0,6036.6,5811.4,4805.4,1421.9,29.29946,82.52071
180,Kāṅbāchen,NE,1.224,1003.9,820.0,420.0,1240.0,7803.5,7679.1,6675.2,2026.9,27.721531,88.116376
181,Rakaposhi,NE,1.217,1010.1,830.0,1020.0,1850.0,7582.9,7190.4,6180.2,2354.7,36.151651,74.501207
182,Chogolisa I,SW,1.214,1007.3,830.0,700.0,1530.0,7556.5,7240.5,6233.2,1942.6,35.606636,76.567368
183,Laila Peak,N,1.208,1002.3,830.0,340.0,1170.0,6810.5,6421.4,5419.1,1951.2,35.96332,74.961575
184,Kanjut Sar,S,1.207,1001.9,830.0,390.0,1220.0,7725.2,7561.8,6559.9,2478.5,36.198326,75.41672
185,Gharkun,NE,1.206,1001.0,830.0,460.0,1290.0,6427.5,6275.1,5274.0,1227.2,35.082203,76.978931
186,Khumil Gri,NW,1.206,1001.0,830.0,130.0,960.0,6660.4,6664.7,5663.7,1758.2,35.645888,76.54263
187,Everest North Summit,W,1.206,1001.0,830.0,740.0,1570.0,7476.1,7236.5,6235.5,1659.1,28.02411,86.903496
188,K2,E,1.202,1009.9,840.0,1490.0,2330.0,8565.6,7346.9,6337.0,2912.3,35.88091,76.534516
189,Tilicho Peak,E,1.199,1007.4,840.0,750.0,1590.0,7047.7,6690.2,5682.8,1988.2,28.68381,83.821701
190,Boktoh,N,1.192,1013.0,850.0,180.0,1030.0,6008.2,5930.3,4917.3,1346.7,27.626554,88.00468
191,Tahu Rutum,N,1.186,1007.8,850.0,50.0,900.0,6323.5,6309.9,5302.1,1572.1,36.125654,75.50989
192,Kaberi Kangri,S,1.185,1007.1,850.0,400.0,1250.0,6804.1,6396.3,5389.2,1650.8,35.584916,76.605177
193,Momhil Sar,NW,1.179,1002.0,850.0,110.0,960.0,7127.6,7042.2,6040.2,1646.2,36.323083,75.029971
194,Kaimuk Kangri,W,1.178,1001.3,850.0,390.0,1240.0,6785.9,6613.5,5612.2,1966.9,35.914772,76.879818
195,Nanga Parbat Southeast Peak,N,1.177,1000.9,850.0,1570.0,2420.0,7500.1,6283.0,5282.1,2504.7,35.277142,74.612854
196,Kunyang Chhish North,W,1.157,1006.8,870.0,520.0,1390.0,6510.4,6103.7,5096.9,1570.0,36.250492,75.206971
197,Gimmigela Chuli I,SE,1.152,1002.5,870.0,70.0,940.0,7248.9,7202.8,6200.3,1323.5,27.737377,88.162294
198,Kerkeleng Sar,NE,1.152,1001.9,870.0,0.0,870.0,6032.5,6034.1,5032.2,1459.4,36.283238,75.277628
199,Unnamed Peak,SE,1.151,1001.4,870.0,90.0,960.0,6157.9,6144.9,5143.6,1928.7,35.335085,74.705577
200,Ardver Sar,NW,1.151,1001.1,870.0,190.0,1060.0,6557.2,6442.3,5441.2,1858.2,36.372624,75.270041
201,Ghent Kangri,E,1.141,1004.2,880.0,280.0,1160.0,7342.9,7218.8,6214.6,1309.4,35.517828,76.808066
202,Annapurna II,E,1.138,1001.1,880.0,1730.0,2610.0,7874.3,7088.3,6087.1,2178.9,28.53495,84.144379
203,Chongra,NW,1.13,1005.6,890.0,290.0,1180.0,6762.4,6780.7,5775.2,2209.0,35.327371,74.669479
204,Gasherbrum I South,SW,1.126,1013.1,900.0,880.0,1780.0,6931.4,6510.8,5497.8,1810.0,35.693693,76.681698
205,Toshe II,NW,1.119,1006.8,900.0,1460.0,2360.0,6252.8,5989.7,4982.9,1482.2,35.154766,74.39967
